Food Item,Serving Size (g),Calories (kcal),Dietary preference,Allergens,Glycemic Index,Protein (g),Carbs (g),Fats (g),Meal Type
Cucumber,192,606,Vegetarian,Dairy,43,32.79,8.9,29.08,Dinner
Blackberries,394,76,Vegetarian,None,36,15.96,8.77,1.4,Dinner
Almonds,87,243,Vegetarian,Gluten,50,43.4,8.9,32.33,Breakfast
Cream,178,325,Vegetarian,Nuts,63,3.45,28.35,19.06,Dinner
Cherries,405,570,Vegetarian,None,66,27.45,77.52,33.47,Lunch
Chicken,311,584,Non-Vegetarian,Nuts,86,29.46,74.18,24.78,Dinner
Apricots,66,288,Vegetarian,None,96,25.15,48.79,16.68,Snack
Onions,283,346,Vegetarian,Dairy,23,30.55,73.12,12.84,Snack
Bell Peppers,71,615,Vegetarian,Gluten,59,19.64,55.33,48.78,Breakfast
Cream,385,626,Vegetarian,Shellfish,90,25.03,48.79,31.39,Breakfast
Butter,217,238,Vegetarian,Gluten,38,15.87,87.68,14.17,Lunch
Mango,283,438,Vegetarian,Shellfish,64,15.96,21.8,23.91,Breakfast
Cheese,160,575,Vegetarian,Nuts,57,47.53,45.45,1.76,Dinner
Turnips,154,513,Vegetarian,None,71,44.47,73.3,33.47,Dinner
Tofu,430,92,Vegetarian,Gluten,77,25.33,45.45,38.38,Breakfast
Chili Peppers,275,230,Vegetarian,Shellfish,37,47.53,21.8,11.66,Breakfast
Leeks,92,575,Vegetarian,Dairy,52,19.76,26.0,28.0,Lunch
Lamb,266,86,Non-Vegetarian,Nuts,54,31.73,48.79,1.84,Snack
Peaches,154,671,Vegetarian,Shellfish,82,35.08,15.47,1.18,Lunch
Duck,67,361,Non-Vegetarian,Nuts,32,24.11,67.69,35.88,Lunch
Zucchini,364,469,Vegetarian,Dairy,15,32.61,28.35,10.61,Dinner
Wheat,71,671,Vegetarian,Nuts,78,16.71,18.2,23.12,Lunch
Beef,380,315,Non-Vegetarian,None,10,38.21,55.32,23.51,Breakfast
Almonds,168,677,Vegetarian,Dairy,58,11.89,74.18,14.52,Breakfast
Papaya,442,671,Vegetarian,Dairy,77,33.96,55.32,14.52,Snack
Cantaloupe,385,514,Vegetarian,Nuts,29,11.2,15.47,20.19,Snack
Peanuts,138,513,Vegetarian,None,48,24.11,8.77,35.88,Snack
Kiwi,132,234,Vegetarian,Shellfish,92,41.54,22.12,27.36,Breakfast
Onions,266,238,Vegetarian,Dairy,32,42.95,54.96,13.39,Snack
Radishes,406,556,Vegetarian,Gluten,27,5.73,78.02,29.3,Lunch
Macadamia,222,612,Vegetarian,Gluten,54,1.06,79.59,40.94,Breakfast
Papaya,174,217,Vegetarian,Shellfish,12,41.54,15.47,38.86,Breakfast
Tomatoes,162,168,Vegetarian,Shellfish,59,44.47,93.48,25.63,Dinner
Blackberries,499,315,Vegetarian,Nuts,59,33.13,87.26,33.06,Snack
Peanuts,283,414,Vegetarian,Nuts,27,33.13,56.39,1.84,Breakfast
Corn,451,284,Vegetarian,Shellfish,21,32.79,42.27,32.97,Lunch
Yogurt,285,416,Vegetarian,Nuts,43,8.68,45.71,42.7,Breakfast
Oat Milk,380,606,Vegetarian,Shellfish,95,3.56,70.43,23.12,Snack
Broccoli,269,288,Vegetarian,Shellfish,78,3.29,41.39,33.82,Lunch
Pork,342,217,Non-Vegetarian,Dairy,18,30.55,8.77,16.02,Snack
Tuna,216,619,Non-Vegetarian,Nuts,67,15.87,69.92,28.0,Breakfast
Mushrooms,372,617,Vegetarian,Gluten,29,20.98,18.2,37.72,Dinner
Shallots,200,474,Vegetarian,Dairy,41,34.58,96.08,30.15,Snack
Lamb,68,575,Non-Vegetarian,None,38,24.11,0.56,46.9,Snack
Carrot,160,422,Vegetarian,Dairy,95,28.89,21.8,10.15,Dinner
Beetroot,98,243,Vegetarian,Gluten,98,35.61,96.08,26.02,Dinner
Cheese,230,371,Vegetarian,None,90,3.99,75.85,25.01,Snack
Parsnips,351,243,Vegetarian,Nuts,75,3.99,33.94,45.92,Dinner
Lentils,385,306,Vegetarian,Shellfish,32,19.64,46.24,14.36,Breakfast
Hazelnuts,380,76,Vegetarian,Shellfish,15,3.99,21.8,23.31,Lunch
Garlic,230,533,Vegetarian,Shellfish,47,44.63,78.04,45.32,Breakfast
Cherries,222,514,Vegetarian,Nuts,67,41.64,53.8,37.31,Lunch
Cherries,124,612,Vegetarian,Gluten,82,35.65,10.73,28.8,Snack
Parsnips,263,287,Vegetarian,Dairy,29,46.53,39.41,38.81,Lunch
Oranges,192,637,Vegetarian,Dairy,41,16.94,56.39,30.15,Breakfast
Corn,174,514,Vegetarian,Dairy,66,25.03,37.5,17.93,Snack
Tuna,174,416,Non-Vegetarian,Dairy,48,30.68,61.22,23.98,Breakfast
Oranges,453,575,Vegetarian,Shellfish,59,8.48,89.74,33.47,Breakfast
Broccoli,160,557,Vegetarian,None,61,9.38,22.12,30.15,Breakfast
Egg,160,156,Non-Vegetarian,Gluten,32,9.36,93.7,38.38,Dinner
Pecans,263,626,Vegetarian,Gluten,38,45.45,64.65,23.98,Lunch
Nuts,222,238,Vegetarian,Nuts,63,21.08,28.35,10.61,Lunch
Cheese,229,445,Vegetarian,None,54,32.06,15.47,6.44,Snack
Mutton,142,230,Non-Vegetarian,Gluten,59,19.64,69.92,0.89,Snack
Almonds,364,346,Vegetarian,None,59,41.54,2.07,38.93,Lunch
Tomatoes,327,438,Vegetarian,Shellfish,59,3.99,0.56,35.88,Breakfast
Oranges,192,575,Vegetarian,Dairy,75,14.59,78.53,19.42,Lunch
Tofu,389,556,Vegetarian,Nuts,66,25.15,93.48,47.79,Lunch
Strawberries,403,617,Vegetarian,Gluten,88,48.14,78.04,13.39,Snack
Peanuts,253,369,Vegetarian,Nuts,24,15.22,90.1,6.62,Breakfast
Salmon,147,670,Non-Vegetarian,Dairy,44,25.03,77.52,10.15,Snack
Scallions,142,375,Vegetarian,Shellfish,38,46.67,47.33,24.78,Dinner
Coconut Milk,174,213,Vegetarian,Shellfish,80,3.99,74.31,10.49,Breakfast
Cheese,351,384,Vegetarian,Dairy,90,37.8,87.26,20.19,Breakfast
Cherries,162,512,Vegetarian,Nuts,63,43.4,73.18,35.88,Snack
Seitan,385,472,Vegetarian,None,55,25.33,48.79,14.71,Dinner
Kale,168,637,Vegetarian,Gluten,58,24.52,47.67,38.81,Lunch
Cheese,385,288,Vegetarian,None,23,44.47,64.65,23.98,Snack
Peanuts,202,384,Vegetarian,Dairy,77,15.91,30.76,26.44,Dinner
Squash,207,617,Vegetarian,Nuts,47,44.63,33.94,23.98,Lunch
Potatoes,174,626,Vegetarian,Gluten,66,46.53,79.59,45.32,Dinner
Egg,334,520,Non-Vegetarian,Nuts,59,3.29,45.79,28.0,Lunch
Honeydew,340,612,Vegetarian,None,53,34.58,0.56,23.31,Dinner
Pecans,421,169,Vegetarian,Dairy,77,42.95,37.96,23.51,Snack
Peanuts,342,287,Vegetarian,Gluten,59,41.16,74.18,16.11,Dinner
Apricots,181,459,Vegetarian,None,87,3.56,34.29,46.22,Dinner
Oat Milk,76,147,Vegetarian,None,44,37.8,31.14,7.29,Breakfast
Tempeh,178,369,Vegetarian,Gluten,82,41.54,48.29,15.34,Snack
Strawberries,253,284,Vegetarian,Shellfish,98,9.36,54.96,38.86,Lunch
Cucumber,253,575,Vegetarian,Nuts,47,41.64,2.07,16.11,Dinner
Almond Milk,216,156,Vegetarian,Shellfish,77,8.68,93.48,29.08,Dinner
Carrot,447,670,Vegetarian,Nuts,30,43.4,56.73,28.42,Dinner
Beef,132,512,Non-Vegetarian,None,59,37.93,74.31,47.79,Lunch
Leeks,419,530,Vegetarian,Gluten,21,3.29,78.02,12.36,Lunch
Peanuts,333,619,Vegetarian,Nuts,27,11.62,47.33,28.8,Dinner
Lentils,213,318,Vegetarian,Shellfish,26,37.93,35.38,38.81,Dinner
Barley,318,529,Vegetarian,None,88,9.36,33.94,45.92,Dinner
Strawberries,419,626,Vegetarian,Dairy,87,24.52,74.18,29.08,Breakfast
Tuna,298,175,Non-Vegetarian,Gluten,18,35.08,32.79,6.44,Breakfast
Pineapple,160,396,Vegetarian,None,77,16.23,34.29,40.94,Dinner
Oranges,334,168,Vegetarian,Dairy,59,46.67,99.09,1.4,Snack
Nuts,499,384,Vegetarian,Shellfish,10,27.45,28.17,24.78,Lunch
Cream,364,179,Vegetarian,Nuts,29,35.3,26.59,38.9,Snack
Salmon,253,371,Non-Vegetarian,None,21,12.51,78.04,16.68,Lunch
Spinach,351,375,Vegetarian,Gluten,43,11.94,43.46,48.05,Snack
Peas,200,371,Vegetarian,Gluten,57,5.73,65.18,24.78,Snack
Squash,451,619,Vegetarian,Shellfish,48,19.76,96.08,3.1,Lunch
Honeydew,174,556,Vegetarian,None,79,27.45,87.68,37.31,Snack
Zucchini,67,414,Vegetarian,Dairy,59,10.26,33.94,37.31,Lunch
Almond Milk,269,637,Vegetarian,Gluten,23,32.79,92.79,38.21,Snack
Mango,499,430,Vegetarian,Gluten,98,35.3,73.3,14.17,Snack
Apples,239,217,Vegetarian,Gluten,95,40.52,22.28,45.92,Dinner
Cheese,160,360,Vegetarian,Shellfish,21,47.53,89.42,23.51,Dinner
Walnuts,283,288,Vegetarian,Shellfish,58,25.03,37.89,28.42,Breakfast
Cauliflower,318,430,Vegetarian,Nuts,58,44.65,73.12,10.15,Snack
Nectarines,253,564,Vegetarian,Shellfish,82,22.55,99.09,49.9,Snack
Sweet Potatoes,342,582,Vegetarian,Gluten,90,46.26,45.79,38.21,Snack
Cashews,461,617,Vegetarian,Dairy,59,27.45,31.62,1.18,Snack
Spinach,318,584,Vegetarian,Shellfish,17,41.24,73.93,18.81,Lunch
Wheat,467,474,Vegetarian,Shellfish,50,38.21,31.14,10.49,Dinner
Duck,275,168,Non-Vegetarian,Nuts,58,45.45,89.42,12.56,Breakfast
Mushrooms,294,133,Vegetarian,Dairy,15,34.58,45.45,35.86,Dinner
Apples,311,158,Vegetarian,Gluten,54,19.64,53.8,35.88,Breakfast
Jalapenos,385,564,Vegetarian,Shellfish,75,20.98,8.9,35.88,Breakfast
Apricots,442,662,Vegetarian,Nuts,21,3.29,45.79,29.3,Breakfast
Plums,154,414,Vegetarian,Shellfish,59,21.08,41.39,35.88,Dinner
Watermelon,192,513,Vegetarian,Gluten,95,19.11,24.51,19.8,Snack
Coconut Milk,76,626,Vegetarian,None,93,9.38,56.73,38.9,Snack
Strawberries,67,556,Vegetarian,Dairy,77,35.08,99.09,31.39,Snack
Chicken,334,384,Non-Vegetarian,Shellfish,99,44.65,8.77,33.06,Snack
Grapes,269,582,Vegetarian,Nuts,58,41.67,97.12,12.26,Dinner
Wheat,311,662,Vegetarian,Nuts,64,34.58,93.48,33.82,Snack
Honeydew,168,584,Vegetarian,Dairy,55,5.73,37.02,33.06,Lunch
Onions,334,570,Vegetarian,Gluten,64,9.36,74.18,12.84,Lunch
Almond Milk,213,512,Vegetarian,Gluten,21,25.03,33.94,0.42,Dinner
Salmon,202,396,Non-Vegetarian,Dairy,55,5.23,43.46,38.93,Lunch
Cauliflower,285,459,Vegetarian,Gluten,90,11.89,48.79,38.81,Snack
Peanuts,298,514,Vegetarian,Nuts,12,9.38,37.89,30.15,Lunch
Peas,183,582,Vegetarian,Gluten,66,3.29,35.73,29.3,Snack
Tempeh,394,626,Vegetarian,Nuts,99,11.62,15.2,38.38,Lunch
Parsnips,213,637,Vegetarian,Gluten,44,3.99,15.2,40.03,Lunch
Leeks,451,582,Vegetarian,Gluten,29,32.89,55.33,19.42,Lunch
Spinach,124,556,Vegetarian,Shellfish,21,35.61,45.71,14.36,Snack
Sweet Potatoes,206,612,Vegetarian,Gluten,44,47.53,93.7,44.12,Dinner
Tuna,87,533,Non-Vegetarian,Shellfish,77,11.2,56.39,6.44,Lunch
Rice,94,562,Vegetarian,Gluten,27,15.91,79.59,42.7,Breakfast
Chickpeas,430,301,Vegetarian,Nuts,86,31.73,87.68,23.98,Lunch
Rice Milk,94,384,Vegetarian,Dairy,24,33.96,8.9,38.93,Lunch
Wheat,70,612,Vegetarian,Gluten,96,35.95,15.47,15.34,Breakfast
Cherries,174,584,Vegetarian,Shellfish,78,8.68,2.07,28.6,Lunch
Apples,327,76,Vegetarian,Gluten,64,22.58,45.53,3.1,Snack
Butter,385,435,Vegetarian,Gluten,93,45.04,87.68,10.61,Dinner
Brazil Nuts,451,472,Vegetarian,Gluten,21,42.95,45.53,23.51,Breakfast
Chickpeas,333,520,Vegetarian,Dairy,12,46.53,46.24,10.15,Dinner
Mango,202,360,Vegetarian,Dairy,52,32.06,37.5,15.34,Dinner
Coconut Milk,403,315,Vegetarian,Gluten,90,24.52,73.12,25.63,Snack
Seitan,269,435,Vegetarian,Gluten,24,29.46,79.59,0.89,Dinner
Tomatoes,372,384,Vegetarian,Dairy,99,16.23,94.85,32.24,Lunch
Blueberries,66,360,Vegetarian,Shellfish,66,29.46,78.53,1.4,Breakfast
Rice Milk,318,96,Vegetarian,Dairy,86,3.29,79.59,29.08,Snack
Broccoli,333,86,Vegetarian,Dairy,78,41.24,87.67,32.33,Snack
Macadamia,263,288,Vegetarian,Nuts,50,8.48,50.43,19.8,Snack
Peaches,263,361,Vegetarian,Gluten,44,30.68,37.5,28.6,Lunch
Hazelnuts,192,175,Vegetarian,Nuts,15,43.4,24.51,26.44,Lunch
Wheat,385,384,Vegetarian,Dairy,90,32.61,37.02,12.56,Snack
Seitan,239,570,Vegetarian,Dairy,41,3.29,90.1,33.06,Lunch
Wheat,178,562,Vegetarian,Nuts,15,34.7,24.51,32.33,Dinner
Onions,253,416,Vegetarian,Nuts,61,33.96,93.48,0.6,Snack
Beans,181,670,Vegetarian,None,66,32.89,73.12,12.84,Lunch
Raspberries,327,288,Vegetarian,Shellfish,29,3.99,28.31,25.01,Lunch
Pistachios,124,234,Vegetarian,Gluten,63,46.26,96.73,27.13,Dinner
Chili Peppers,206,670,Vegetarian,Dairy,15,22.58,8.77,46.9,Breakfast
Cucumber,253,633,Vegetarian,Nuts,23,31.73,28.31,40.03,Lunch
Sweet Potatoes,124,86,Vegetarian,Nuts,88,26.74,8.77,32.33,Snack
Chicken,66,416,Non-Vegetarian,Gluten,95,3.99,73.93,47.47,Lunch
Nectarines,193,287,Vegetarian,Nuts,78,41.16,25.38,6.44,Breakfast
Broccoli,447,360,Vegetarian,Dairy,77,24.11,5.68,0.42,Dinner
Mushrooms,372,230,Vegetarian,Dairy,90,10.26,64.62,30.15,Breakfast
Egg,428,677,Non-Vegetarian,Nuts,82,29.46,93.7,37.31,Breakfast
Shrimp,213,671,Non-Vegetarian,Dairy,82,3.99,88.15,0.6,Breakfast
Chili Peppers,160,371,Vegetarian,Gluten,97,44.63,15.47,37.31,Dinner
Macadamia,236,213,Vegetarian,Nuts,59,11.62,34.29,19.06,Lunch
Peas,206,530,Vegetarian,Shellfish,23,12.89,41.39,27.36,Dinner
Oat Milk,294,570,Vegetarian,Gluten,12,21.08,48.29,1.76,Dinner
Apples,428,117,Vegetarian,Gluten,59,3.45,33.94,12.48,Snack
Peas,174,76,Vegetarian,Nuts,78,3.99,78.53,0.89,Breakfast
Turkey,294,459,Non-Vegetarian,Dairy,27,9.36,78.53,23.12,Snack
Spinach,192,86,Vegetarian,Dairy,75,11.89,5.68,32.97,Breakfast
Almond Milk,419,536,Vegetarian,Shellfish,49,12.51,77.52,30.15,Breakfast
Egg,405,438,Non-Vegetarian,None,21,10.26,37.52,14.17,Breakfast
Apricots,405,514,Vegetarian,Gluten,95,47.53,87.68,20.19,Lunch
Barley,253,532,Vegetarian,Dairy,78,42.95,88.15,20.59,Breakfast
Lamb,264,86,Non-Vegetarian,Gluten,71,48.14,61.67,19.8,Snack
Macadamia,168,575,Vegetarian,Shellfish,44,35.3,99.09,40.94,Dinner
Rice,229,570,Vegetarian,None,92,1.06,61.22,16.11,Breakfast
Lentils,124,626,Vegetarian,None,52,11.89,26.0,0.6,Breakfast
Plums,394,238,Vegetarian,None,41,6.23,89.74,38.38,Snack
Shrimp,372,430,Non-Vegetarian,Gluten,64,25.15,22.28,46.22,Breakfast
Almonds,311,617,Vegetarian,Nuts,21,3.99,80.47,17.28,Snack
Pistachios,160,530,Vegetarian,Nuts,44,8.48,94.85,10.61,Lunch
Almond Milk,380,234,Vegetarian,Gluten,21,45.04,78.04,12.36,Breakfast
Turnips,449,213,Vegetarian,Gluten,80,32.79,43.46,11.66,Breakfast
Squash,98,430,Vegetarian,None,95,21.08,10.73,1.18,Snack
Turnips,202,371,Vegetarian,Dairy,87,16.71,94.85,26.02,Snack
Turkey,281,512,Non-Vegetarian,Dairy,78,5.73,87.68,1.4,Lunch
Salmon,181,664,Non-Vegetarian,Shellfish,75,46.26,56.39,12.56,Dinner
Peanuts,294,556,Vegetarian,Dairy,36,37.8,77.52,44.12,Dinner
Cheese,98,470,Vegetarian,Dairy,15,14.59,47.67,33.06,Lunch
Beef,428,564,Non-Vegetarian,Dairy,59,32.79,79.59,25.01,Snack
Papaya,463,612,Vegetarian,Shellfish,26,39.32,43.46,16.68,Snack
Mushrooms,87,227,Vegetarian,None,57,19.76,53.8,14.36,Snack
Beetroot,142,361,Vegetarian,None,21,25.05,26.0,30.15,Breakfast
Zucchini,372,662,Vegetarian,Nuts,79,10.26,26.0,38.9,Breakfast
Turnips,133,133,Vegetarian,Nuts,72,9.38,26.0,18.81,Snack
Macadamia,231,622,Vegetarian,Gluten,88,47.53,87.67,13.39,Dinner
Pineapple,253,224,Vegetarian,None,95,39.32,33.94,23.91,Breakfast
Shallots,192,230,Vegetarian,None,26,15.91,61.17,37.31,Dinner
Kiwi,236,217,Vegetarian,Dairy,29,30.68,46.24,38.21,Dinner
Plums,298,414,Vegetarian,Shellfish,57,7.86,76.46,16.68,Snack
Chicken,70,384,Non-Vegetarian,Dairy,61,37.8,78.88,25.63,Breakfast
Squash,92,133,Vegetarian,Gluten,59,9.38,93.7,12.69,Snack
Tuna,76,671,Non-Vegetarian,Gluten,10,1.6,69.92,45.32,Dinner
Tofu,428,612,Vegetarian,Gluten,82,24.11,24.51,29.3,Breakfast
Leeks,253,238,Vegetarian,Gluten,82,10.84,69.92,37.72,Snack
Duck,229,175,Non-Vegetarian,Shellfish,30,21.52,56.73,1.84,Lunch
Apricots,298,315,Vegetarian,Dairy,82,3.51,39.41,44.12,Breakfast
Lamb,94,371,Non-Vegetarian,Gluten,59,34.87,76.46,16.33,Snack
Egg,253,361,Non-Vegetarian,Nuts,22,35.08,73.93,3.1,Breakfast
Oat Milk,266,384,Vegetarian,Dairy,27,45.45,99.26,38.86,Dinner
Onions,217,288,Vegetarian,Dairy,87,24.52,39.41,20.59,Dinner
Carrot,202,622,Vegetarian,Gluten,54,46.26,92.11,32.24,Dinner
Pineapple,463,76,Vegetarian,Gluten,88,33.13,31.62,32.33,Breakfast
Cauliflower,67,86,Vegetarian,Gluten,23,11.2,70.21,35.88,Lunch
Kale,236,435,Vegetarian,Gluten,71,12.51,74.18,14.52,Snack
Lamb,230,169,Non-Vegetarian,Gluten,80,34.87,35.73,29.08,Breakfast
Butter,192,557,Vegetarian,Shellfish,21,27.65,73.93,12.84,Breakfast
Kale,192,536,Vegetarian,None,32,33.13,92.79,37.72,Dinner
Nectarines,342,396,Vegetarian,Gluten,97,41.64,79.59,10.49,Dinner
Cashews,451,612,Vegetarian,Dairy,23,27.45,61.15,10.61,Lunch
Almond Milk,364,671,Vegetarian,Gluten,92,46.26,64.62,38.38,Snack
Peaches,192,584,Vegetarian,Shellfish,93,41.64,48.79,0.89,Dinner
Duck,133,133,Non-Vegetarian,Gluten,59,35.08,35.38,19.06,Lunch
Grapes,174,288,Vegetarian,Dairy,87,21.52,78.88,17.93,Breakfast
Pistachios,178,325,Vegetarian,Shellfish,43,2.68,92.11,1.18,Snack
Zucchini,394,435,Vegetarian,None,86,16.23,37.5,17.93,Dinner
Cheese,297,288,Vegetarian,Nuts,82,3.51,46.24,6.44,Lunch
Milk,192,516,Vegetarian,None,59,15.91,32.79,20.19,Breakfast
Nuts,406,346,Vegetarian,Nuts,23,37.93,2.07,38.21,Snack
Broccoli,467,144,Vegetarian,Shellfish,24,40.52,85.88,23.91,Dinner
Oranges,253,416,Vegetarian,None,19,35.61,92.79,40.03,Breakfast
Soy Milk,206,438,Vegetarian,Nuts,21,26.11,45.53,1.84,Dinner
Lentils,133,414,Vegetarian,Nuts,21,19.19,8.77,48.78,Dinner
Quinoa,451,224,Vegetarian,Gluten,78,28.89,89.74,35.88,Snack
Pistachios,239,617,Vegetarian,Dairy,43,3.99,90.92,24.78,Breakfast
Zucchini,70,435,Vegetarian,Gluten,64,5.23,79.59,1.84,Breakfast
Apricots,385,440,Vegetarian,Gluten,30,19.76,44.23,24.78,Breakfast
Jalapenos,160,259,Vegetarian,Dairy,41,39.32,96.73,42.7,Dinner
Blackberries,406,147,Vegetarian,Dairy,15,43.4,35.38,19.42,Breakfast
Rice Milk,192,536,Vegetarian,None,78,35.61,39.41,38.21,Snack
Pistachios,245,536,Vegetarian,Shellfish,75,25.03,47.67,38.81,Snack
Cherries,178,346,Vegetarian,None,30,16.71,24.51,16.33,Dinner
Mushrooms,87,612,Vegetarian,Dairy,44,24.11,88.15,20.19,Lunch
Parsnips,403,606,Vegetarian,None,77,24.52,47.67,14.17,Snack
Quinoa,124,536,Vegetarian,Nuts,77,45.04,45.45,28.6,Dinner
Tofu,160,520,Vegetarian,Dairy,59,10.84,73.93,40.94,Breakfast
Bananas,385,616,Vegetarian,Dairy,93,19.19,78.04,40.03,Dinner
Cream,147,284,Vegetarian,Gluten,55,15.91,64.62,0.89,Dinner
Chickpeas,263,288,Vegetarian,Shellfish,48,21.08,87.67,12.26,Breakfast
Shallots,327,612,Vegetarian,None,88,32.61,88.15,7.29,Breakfast
Peanuts,281,133,Vegetarian,Nuts,24,20.98,89.74,22.65,Lunch
Tuna,230,416,Non-Vegetarian,Nuts,20,9.36,92.11,12.26,Dinner
Nuts,283,619,Vegetarian,Shellfish,11,2.68,43.46,48.78,Dinner
Lamb,138,435,Non-Vegetarian,Nuts,55,1.6,31.14,19.42,Snack
Yogurt,178,288,Vegetarian,Shellfish,64,32.79,73.12,30.15,Snack
Salmon,160,692,Non-Vegetarian,Gluten,88,25.15,55.33,38.21,Breakfast
Apples,216,414,Vegetarian,Nuts,47,35.65,18.2,40.94,Breakfast
Beans,231,617,Vegetarian,Gluten,30,3.99,24.51,38.38,Lunch
Peaches,275,224,Vegetarian,None,24,45.45,96.73,16.02,Lunch
Spinach,216,306,Vegetarian,Shellfish,24,32.06,54.96,23.31,Dinner
Mango,467,284,Vegetarian,None,18,12.89,32.79,35.88,Lunch
Chili Peppers,92,564,Vegetarian,Nuts,36,42.95,34.29,38.9,Dinner
Tuna,297,662,Non-Vegetarian,Shellfish,53,22.58,93.7,46.22,Breakfast
Mutton,68,470,Non-Vegetarian,Shellfish,48,19.64,73.18,20.59,Lunch
Raspberries,294,259,Vegetarian,Shellfish,94,42.95,53.8,23.91,Snack
Grapes,222,612,Vegetarian,Gluten,54,10.26,26.0,15.34,Snack
Garlic,372,670,Vegetarian,Nuts,88,32.61,70.43,38.97,Dinner
Apricots,183,470,Vegetarian,Dairy,29,48.14,54.96,47.47,Breakfast
Honeydew,389,564,Vegetarian,Gluten,26,37.8,54.96,38.38,Dinner
Parsnips,178,213,Vegetarian,Shellfish,54,12.51,45.79,12.69,Dinner
Raspberries,154,612,Vegetarian,Dairy,48,46.53,73.12,29.08,Snack
Wheat,285,513,Vegetarian,Nuts,64,31.73,96.08,23.91,Dinner
Yams,351,470,Vegetarian,Gluten,36,6.23,37.5,32.33,Breakfast
Broccoli,66,315,Vegetarian,Dairy,99,35.65,37.89,33.82,Dinner
Cream,385,318,Vegetarian,Gluten,26,47.53,54.96,16.11,Dinner
Cauliflower,181,650,Vegetarian,Dairy,48,15.22,0.56,14.52,Dinner
Nuts,147,360,Vegetarian,None,82,24.11,94.85,15.34,Breakfast
